,logFC,AveExpr,t,P.Value,adj.P.Val,B
IRF2,5.91975853619151,0.165319067454665,6.24526384598133,2.9953001703047e-06,0.000501508148772917,4.56352781170513
STAT2,6.36801048322052,0.0688013136191269,6.1836890700135,3.44679140050115e-06,0.000501508148772917,4.43922594307392
SREBF1,-4.96151429496147,-0.0584248825739216,-5.64033800676059,1.21229384035114e-05,0.00117592502514061,3.3191572671754
ZNF263,6.8935021093164,-0.120907114402684,5.37543809018583,2.26321385998402e-05,0.00164648808313837,2.75930570316748
MIER1,4.48440146048391,0.0662031351096805,5.07853185073686,4.58948776143084e-05,0.00267108187715275,2.12276963409775
STAT1,4.73948368734891,0.142794817087365,4.99459281263637,5.6116253807801e-05,0.00272163830967835,1.94132101966699
SREBF2,-4.20335908740221,-0.0912122937391226,-4.55419708271541,0.000162197926443221,0.00674279951356818,0.981264428152785
IRF9,4.00975106113984,-0.0111211831084282,4.40157716441334,0.000234702659202862,0.00853730922850411,0.646433722073708
KMT2A,4.19021062416444,0.146599986205676,4.26634876480073,0.000325702714624983,0.0104917478404832,0.349396584984683
IRF1,3.76278288362153,0.0700375956139917,4.22441257244716,0.000360541162903202,0.0104917478404832,0.257266042354
ETV4,3.57643389329264,0.0498674061865484,4.15849288671744,0.000422977490277073,0.0111896772427844,0.112471354334842
RELA,3.87896483663661,0.0691641126517312,4.09204937200373,0.000496825291371524,0.0120435521687794,-0.0334046924123585
FOXL2,3.94607828688099,-0.0542737232168127,4.05913853705551,0.000538028103759905,0.0120435521687794,-0.105620734754818
MBD1,3.39631751759878,-0.0869390844765568,3.81773535039666,0.000964032712251372,0.0200381085189392,-0.63393053574661
STAT3,4.29784370398658,-0.0168062018249855,3.78458340892578,0.00104418367193766,0.0202571632355905,-0.706212230777817
KLF9,-3.99724433530828,-0.0140178190309062,-3.70958898128216,0.00125060983152299,0.0227454663108243,-0.869398023256853
SP1,3.86401060246935,-0.00446675749904093,3.63206309700484,0.00150631327124576,0.0243996234975045,-1.03754841391875
ZNF639,-3.27387420013325,-0.114508819977661,-3.63124890667859,0.00150925506170131,0.0243996234975045,-1.03931111087327
ARNTL,3.32326212080592,-0.0759075984504862,3.58538491305759,0.00168442468975733,0.0257123254453445,-1.13848747067855
SNAPC4,-4.00380175325322,0.0787687224731485,-3.56532901829598,0.00176717013370066,0.0257123254453445,-1.18178067195983
NFKB1,3.19249411476053,0.0587411058003876,3.33942208449613,0.00302362491011612,0.0418988023258949,-1.66568423902234
ATF2,3.07108698009007,0.00828146597480526,3.24684722050446,0.00376073693876212,0.0475812808735417,-1.86163339129838
PRDM14,-3.29670827586522,0.0529103455063153,-3.23504837804414,0.00386641048647867,0.0475812808735417,-1.88649388998212
ASCL1,-2.94564320543912,0.0718971846645182,-3.21648701836512,0.00403851205581202,0.0475812808735417,-1.92554849964678
ZBTB7A,4.47752669203966,-0.171539093450631,3.20943177312484,0.0041058598065387,0.0475812808735417,-1.94037549424218
HBP1,-2.81598181979142,0.0189342706577441,-3.18616822991522,0.00433573599112647,0.0475812808735417,-1.98919422958797
TFDP1,3.18262031386007,0.0812803637925633,3.17844664305704,0.0044147580191946,0.0475812808735417,-2.00537362187129
EHF,-2.71679226253547,0.0349947510307171,-3.12682331908794,0.004980058417417,0.0517570356952981,-2.1132193044761
NEUROD1,-2.66659625890633,0.0712608126701534,-2.97638141266714,0.00705501499171604,0.0704679393429751,-2.42403441373247
MTA1,-3.1962792327587,0.00249529041687877,-2.93852583406204,0.00769566808795043,0.0704679393429751,-2.50135750950027
THAP1,-3.39705328978235,0.136766936616422,-2.93190183020637,0.00781335811960782,0.0704679393429751,-2.51484839784967
PGR,2.68451325967953,0.0602563611373668,2.9225277579616,0.00798285964838071,0.0704679393429751,-2.53391995781498
KLF13,2.9914258916346,0.104255001948188,2.92207091506005,0.00799120961621367,0.0704679393429751,-2.53484879390002
FOS,2.66432602024764,-0.0331269797284799,2.89778151982893,0.00844740066059888,0.0708959552853695,-2.5841503618325
BCL6,2.66483755506297,-0.0667910454824543,2.88490963008544,0.00869914735712252,0.0708959552853695,-2.61021051891223
JUN,2.93312364605786,0.0683278653166966,2.88131940727557,0.00877063364355087,0.0708959552853695,-2.6174708642087
CREB1,2.49621081499033,-0.00247158220897964,2.80335173190928,0.010468678514776,0.0823347418324273,-2.77421615248276
E2F4,4.21039029876948,-0.0976818161059838,2.78818762116896,0.0108334324464555,0.0829612853136462,-2.80449011398179
RXRA,-2.45262105236254,-0.01987131981993,-2.73815585941058,0.0121244351759419,0.0862945846455564,-2.90386365387139
KLF4,-2.42794644851361,0.13153224622701,-2.73407848211177,0.0122358424094408,0.0862945846455564,-2.91192689594482
SOX6,-2.36149286007667,0.0222490051722473,-2.72861622574819,0.012386609933322,0.0862945846455564,-2.92272033349938
ETS2,2.40648926541264,0.034267900897435,2.71615992605785,0.0127370331263716,0.0862945846455564,-2.94729746530824
FLI1,2.43882533104906,0.0159481418845645,2.71565501487028,0.0127514334699619,0.0862945846455564,-2.94829261192989
SMAD5,2.45152711253454,-0.0555539730894296,2.69329392138399,0.0134048576689954,0.0886548541290378,-2.9922797823307
NR2F1,-2.57723853421889,0.0159014034360112,-2.66082016987023,0.0144103589314146,0.0931869877564809,-3.0558588489678
MAZ,-3.21949949268052,0.127816721151492,-2.48588444125919,0.02116414703816,0.132325582813096,-3.39181671709472
T,-2.31124077956047,0.00270109868755518,-2.48137608251629,0.0213721731691255,0.132325582813096,-3.40032047103577
ZEB1,2.17292653852285,-0.0558165990944797,2.45934097085232,0.0224166020973936,0.134421285879125,-3.44176596073229
SP2,2.15852894687893,0.0391923810024196,2.44622870925898,0.0230604329772567,0.134421285879125,-3.46633503434703
MAFK,-2.23276535848282,-0.0169103989483242,-2.44550545884213,0.0230964408727018,0.134421285879125,-3.467688173323
FOXO4,2.16239369950003,-0.033100894143695,2.42501442164859,0.0241385679690686,0.137731828999979,-3.50593530837633
ZBTB33,2.09177593186053,0.0531602339327627,2.38057429194433,0.0265501884094345,0.146033379622763,-3.58827812989081
ELK4,2.31001539566303,-0.0931791893142704,2.37784011428456,0.0267056064596594,0.146033379622763,-3.59331672951814
SP3,2.05203667925665,0.0604895033788126,2.37098490903493,0.027098977661956,0.146033379622763,-3.6059354243581
ETS1,2.37746967533922,0.0457914955403034,2.3437244261535,0.0287167686472301,0.150137527022236,-3.6559120942091
ATF4,2.32433518185319,-0.147852303692802,2.33321935906685,0.0293636123856082,0.150137527022236,-3.67508353612477
LEF1,2.17224023255098,0.0211515312862618,2.33016191534723,0.0295543771727431,0.150137527022236,-3.68065404698211
TAF1,2.08463506562375,0.015244137639506,2.32428415968073,0.0299243181006518,0.150137527022236,-3.69135127635327
FOXJ2,2.30336728139396,0.0877016335034148,2.27937257831216,0.0328945899497034,0.162242808057012,-3.77257137791984
TBX21,2.23150249230907,0.0855387537664107,2.23540841381214,0.0360614819877211,0.164735210949812,-3.85117333208357
RBPJ,2.15033759859799,0.146047473883583,2.23321236054415,0.0362267403348195,0.164735210949812,-3.85507561426936
NCOR2,2.34023297771308,-0.110968878693929,2.23155980865188,0.0363515539798337,0.164735210949812,-3.85801060076577
MYCN,1.98590804226055,-0.107389335689839,2.21930197789316,0.0372896687922845,0.164735210949812,-3.87974002468449
NR4A1,2.02082130550283,-0.00874624580772933,2.21576199108054,0.0375646652910983,0.164735210949812,-3.88600188792423
NANOG,-2.33737048341973,0.219684771649389,-2.20394293308007,0.0384962275421093,0.164735210949812,-3.90686458978379
NFE2,-1.97589288291488,-0.11525506463398,-2.20074767790553,0.0387516560618908,0.164735210949812,-3.91249310670742
TEAD4,-2.14845772963014,0.20128715864666,-2.19300529137485,0.0393769832251654,0.164735210949812,-3.92611080558529
E2F5,1.97263236939085,0.0731179978060284,2.1919506454322,0.0394628692946694,0.164735210949812,-3.92796349649159
PAX5,-1.96642852830599,0.0581703553123109,-2.19105246793852,0.0395361473255426,0.164735210949812,-3.92954088940066
RUNX2,2.01202417978312,0.0657294639992739,2.18861761405428,0.0397354174470142,0.164735210949812,-3.93381502191556
MNT,2.30768873550459,-0.0589848340303546,2.18306663155944,0.0401931270702289,0.164735210949812,-3.94354827684152
FOXO3,1.92648151973921,0.0185570043833652,2.16603956594758,0.0416270989238583,0.166375693508641,-3.97330884047898
FOXK2,-2.19035800144853,0.228316561076623,-2.16459784408275,0.0417506205159613,0.166375693508641,-3.97582211031811
STAT4,2.00853126503987,-0.105245074773649,2.15813301366702,0.0423085956001355,0.166375693508641,-3.98707908229835
HNF1B,-1.90754334827495,0.00759678794448216,-2.13405739771874,0.0444463885436147,0.172451987549225,-4.02881581123526
POU5F1,-2.17879135290787,0.217421663895381,-2.09452551045409,0.0481688085790455,0.184435832848714,-4.09670401184164
E2F1,1.89348997819607,0.0789188760977954,2.08638744743976,0.0489690587519682,0.185064884374322,-4.11057881786965
KLF5,-2.51998489196367,0.0527878828277835,-2.06519296748073,0.0511095164940656,0.190677811535552,-4.14655016441143
TCF25,2.02985902877266,0.0108251580591565,2.05324922521066,0.0523523249892989,0.192842108504886,-4.16671602232596
MYBL2,1.88591626056107,-0.0695162751994384,2.03677327004439,0.0541110957826694,0.194504654618778,-4.19440848427233
GATA1,-1.85765938509154,0.0546727356905247,-2.03202829808645,0.054627306047105,0.194504654618778,-4.20235654921275
ZBTB11,2.02884449189157,0.0266418367519462,2.03036886859064,0.0548088717482467,0.194504654618778,-4.20513329342235
TEAD1,-2.14893303030711,0.174359090282781,-1.98926402580709,0.0594814487653971,0.208543392659404,-4.27343315193902
ARID3A,-1.79132947875174,-0.0376764434826306,-1.96100693699789,0.0628955280928865,0.217888079464643,-4.31984085370654
STAT5A,1.98961343347318,0.000344307279566543,1.94535966420392,0.0648597200508102,0.221213577029302,-4.34534500984624
MAF,1.83732681872704,-0.0639057834330426,1.94131765653758,0.0653758337612371,0.221213577029302,-4.35191057313262
FOXO1,-1.69377373505767,-0.0697137916138712,-1.92856411040517,0.067028130533445,0.224197540060144,-4.37256515496386
RFX1,1.90215945485838,-0.111045819971215,1.91217917796402,0.0692048112943075,0.228847728257312,-4.39896308139398
NFE2L2,-1.86664551185038,-0.0158176846580369,-1.90376572432055,0.0703464717422397,0.230009250303278,-4.41245745745757
GRHL2,-1.68071334042097,0.116245128737048,-1.88333808607368,0.0731874335936666,0.236639368619522,-4.44504880416274
FOXM1,1.74476960984029,0.0092797887137502,1.87118865465169,0.0749243350470887,0.239593203282449,-4.46431579928317
TCF7,1.67156732848513,-0.00558657738525642,1.84977651752671,0.0780732321797651,0.246809505474843,-4.49805763470995
ESR2,1.6761768007562,0.143402945637719,1.84443003067259,0.0788772646362899,0.246809505474843,-4.50643981346781
RUNX3,1.71693294023589,0.182870588635176,1.8277190020218,0.0814369970219405,0.250110939388897,-4.53252766581814
RUNX1,-1.66977605098265,-0.00398621513537789,-1.82634049880854,0.0816513376011862,0.250110939388897,-4.5346720899783
BCL11A,1.78186580831468,0.189626273239901,1.80271205043292,0.0854021123258982,0.258875152987879,-4.57124799823941
NR2F6,1.66926421128615,-0.0111478440271707,1.78789555387976,0.0878293820080115,0.261383901152842,-4.59400770274983
MEF2C,1.59933742675492,0.11193816641407,1.78670974300003,0.0880261935153902,0.261383901152842,-4.59582334140916
ATF1,1.55176282173208,0.0558607884763926,1.73828910770172,0.0963938708517869,0.283339559776464,-4.66920773909349
SPI1,1.49177843400537,0.0263687376694534,1.73211617002269,0.0975081351068817,0.283748673161026,-4.67845636407829
REL,1.50676731386471,-0.0141757616252297,1.71586517727875,0.100494367514229,0.28954317768951,-4.70268755196229
NR2F2,-1.60243557778819,0.116762309984896,-1.69960427138988,0.103560159008386,0.294120697503017,-4.7267627998573
HHEX,-1.47272338765887,0.00465304948814451,-1.69501509829613,0.104439658207483,0.294120697503017,-4.73352625640086
CEBPA,-1.49710020780226,0.0871494046402589,-1.69151189490036,0.105115300825821,0.294120697503017,-4.73867997824874
GATA6,-1.46548259961936,-0.0393929347122123,-1.67552746830524,0.108245416097803,0.299994438899624,-4.76209337259453
MTA2,-1.81373704936431,-0.0244354115684593,-1.64095385492335,0.115286381727787,0.316493746064019,-4.8121579534321
ZNF274,-1.55868777741552,-0.181105273024991,-1.63386996892334,0.11677567178593,0.317586172800987,-4.82231741250975
TP73,-1.51417534350128,0.140610696850379,-1.61909272357501,0.119934470704515,0.320031918147805,-4.84340170656682
POU2F1,-1.41031459344272,0.0216408463681538,-1.61454193309053,0.12092156378177,0.320031918147805,-4.84986508902027
MITF,1.44556556587083,0.0106913501885303,1.61429984303684,0.120974264591954,0.320031918147805,-4.8502085306277
E2F6,1.47911121897583,-0.0632464080733692,1.60215123847306,0.123643705188941,0.324147010900738,-4.86739201764426
RCOR1,1.59802586809026,-0.0868067983242327,1.57686978317143,0.129356743093506,0.336096537859019,-4.90282765857157
WT1,1.39922823474313,-0.0461469700588654,1.55747150419446,0.13388766201117,0.341853502761004,-4.92971827968553
PBX3,-1.42600914811466,-0.00747087556863206,-1.55732662299468,0.133921990772352,0.341853502761004,-4.92991813629937
SIX5,1.6839326349813,-0.0756190758995308,1.54900907498594,0.135905034638247,0.34389882678026,-4.94136724900965
NFKB2,-1.40374709290585,0.0667887190015163,-1.50436952449277,0.146966126507827,0.368682265636015,-5.00198276964167
STAT5B,1.46417309310706,0.0234140511507525,1.49765602226965,0.148691763294073,0.369823103577565,-5.01097670957101
CUX1,-1.33039755686392,-0.0516290584717963,-1.48123202415394,0.152983243251477,0.377272235476099,-5.03284351535508
BACH1,-1.29265045845384,-0.0923524576309375,-1.46538407740944,0.157219289416797,0.378273057793344,-5.05375918674313
FOSL2,1.31797740690994,0.120977447004979,1.45888910123277,0.158982628144979,0.378273057793344,-5.06227852218362
SNAI2,1.41638993121954,-0.174542768385207,1.45638569966477,0.159666546990998,0.378273057793344,-5.06555399972156
EBF1,-1.36939121244996,0.0643218720777116,-1.45595448042481,0.159784594420464,0.378273057793344,-5.06611775112805
IRF4,-1.45639464879896,0.0162212905721701,-1.45503525168868,0.160036471577697,0.378273057793344,-5.06731904631545
MTA3,-1.43193629038067,-0.0383261849225095,-1.44788358820613,0.16200708353912,0.378273057793344,-5.07664416619558
SOX9,1.25421311615857,-0.0485676876122635,1.44614740817156,0.162488426887175,0.378273057793344,-5.07890235470657
SMAD1,-1.34554275822953,-0.00303643589099948,-1.43945221983026,0.164355441871783,0.379582806227689,-5.08758990108039
SMAD2,1.28734917683774,0.060044355304709,1.42602941294253,0.168150590656389,0.385009845562647,-5.10490798704927
AHR,1.35181448725634,0.0759429146956009,1.41557880098285,0.171153886670767,0.385009845562647,-5.11829941499924
E2F2,1.49684171771339,-0.132574524184961,1.4092200367964,0.173002210572448,0.385009845562647,-5.1264079923098
HIF1A,1.50162728996631,-0.13906701822192,1.40839018471549,0.173244600664194,0.385009845562647,-5.12746399142692
ATF3,-1.28330776435863,-0.188071182697694,-1.40813023979892,0.173320583397618,0.385009845562647,-5.1277946700145
TFAP4,-1.26643676285949,-0.0715858140915178,-1.38537834791813,0.180074896179229,0.396983293849663,-5.15654255309686
MYC,2.24785690505611,-0.0715893609871475,1.37008587415157,0.184731251422112,0.40418642228447,-5.17564733200875
BATF,-1.25776173612971,0.10216607699152,-1.33167756595926,0.19684666384734,0.427480441638627,-5.22285036679371
TWIST1,1.17092758131978,0.0651004500369404,1.32464660976724,0.199130541789879,0.429236945635961,-5.23136945696711
NCOA3,1.38654386127107,0.100945956277833,1.29683653169623,0.208367662366081,0.445845512856836,-5.26469272761506
THAP11,-1.24814636929065,0.0751874304807192,-1.26741264268804,0.218499212176443,0.460752409829882,-5.29929627113464
ARID2,1.28888502421513,0.0908505822634135,1.26400464818307,0.219696785738544,0.460752409829882,-5.30326044765031
MAFG,-1.1554300538294,0.0103287614768609,-1.26265633475836,0.220171974713658,0.460752409829882,-5.30482628686714
PPARG,-1.07621120973377,-0.0752878891068168,-1.2507637253644,0.224397545347748,0.460752409829882,-5.31857560009845
KLF3,-1.1890799786152,0.0205891265351862,-1.24969967990486,0.224778616823885,0.460752409829882,-5.31980033363788
OTX2,-1.221936505773,-0.0243845429638915,-1.24954373049602,0.224834509264066,0.460752409829882,-5.31997975882943
SOX10,1.13635740779572,-0.0422825815909041,1.24412437554306,0.226783420431669,0.461496331088222,-5.32620297794587
MYB,1.08333753421298,-0.0420929794105279,1.22770292452002,0.232767652438043,0.470384630968546,-5.34491819322103
ELF3,-1.13620967105472,0.0313712109014055,-1.21900790757038,0.235984444473852,0.47359636787511,-5.35474091917455
